TransactionKey,TransactionID,DateKey,SenderAccountKey,ReceiverAccountKey,ChannelKey,CountryKey,Amount,SenderBalanceBefore,SenderBalanceAfter,IsSuspicious,SuspiciousRuleCode
1,TX0000001,2025-12-20,140,112,1,3,19290.82,65743.6,46452.78,0,
2,TX0000002,2025-08-13,83,106,3,2,19903.47,52432.39,32528.92,0,
3,TX0000003,2025-10-29,31,66,3,1,4571.48,21541.95,16970.47,0,
4,TX0000004,2025-04-28,59,2,1,1,1512.76,33104.8,31592.04,0,
5,TX0000005,2025-09-06,88,19,1,3,10331.71,24327.73,13996.02,0,
6,TX0000006,2025-07-28,35,126,1,1,4935.65,28637.0,23701.35,0,
7,TX0000007,2025-01-28,25,114,3,3,7150.52,27764.52,20614.0,0,
8,TX0000008,2025-02-25,26,16,1,1,8112.16,25143.36,17031.2,0,
9,TX0000009,2025-05-23,51,143,2,1,9027.41,30179.3,21151.89,0,
10,TX0000010,2025-02-20,20,117,1,3,16179.64,58992.39,42812.75,0,
11,TX0000011,2025-05-02,144,4,1,2,19383.03,65708.74,46325.71,0,
12,TX0000012,2025-01-31,129,128,1,2,4353.57,24465.48,20111.91,0,
13,TX0000013,2025-08-21,1,103,2,2,5377.54,44602.66,39225.12,0,
14,TX0000014,2025-01-30,148,129,3,3,3180.46,18086.18,14905.72,0,
15,TX0000015,2025-10-27,144,16,2,3,14984.71,17937.26,2952.55,0,
16,TX0000016,2025-04-06,140,42,1,3,1231.9,26672.54,25440.64,0,
17,TX0000017,2025-10-19,18,63,1,3,8135.13,55220.78,47085.65,0,
18,TX0000018,2025-09-25,11,21,2,2,8442.58,37667.83,29225.25,0,
19,TX0000019,2025-12-10,55,84,3,2,4849.85,24699.56,19849.71,0,
20,TX0000020,2025-01-05,121,84,2,3,18587.46,65380.6,46793.14,0,
21,TX0000021,2025-05-16,150,26,1,2,1557.89,12294.29,10736.4,0,
22,TX0000022,2025-10-06,18,65,3,2,7453.59,15425.16,7971.57,0,
23,TX0000023,2025-12-06,140,3,1,1,13390.48,41165.13,27774.65,0,
24,TX0000024,2025-03-21,71,30,2,2,17805.28,54951.87,37146.59,0,
25,TX0000025,2025-05-16,56,91,3,2,4151.59,35900.06,31748.47,0,
26,TX0000026,2025-05-22,67,14,1,1,1936.74,23173.17,21236.43,0,
27,TX0000027,2025-08-15,89,35,3,3,12778.56,25950.13,13171.57,0,
28,TX0000028,2025-12-20,113,149,1,3,292.43,4147.1,3854.67,0,
29,TX0000029,2025-03-07,10,98,1,2,11691.94,19181.82,7489.88,0,
30,TX0000030,2025-05-08,97,11,3,1,17988.6,28571.42,10582.82,0,
31,TX0000031,2025-11-14,94,149,3,1,17694.28,38072.51,20378.23,0,
32,TX0000032,2025-07-31,63,44,1,1,19526.5,60084.01,40557.51,0,
33,TX0000033,2025-05-08,89,109,2,1,16064.48,59281.28,43216.8,0,
34,TX0000034,2025-04-24,28,101,1,2,17456.12,60399.92,42943.8,0,
35,TX0000035,2025-04-25,93,82,1,3,16428.67,60007.69,43579.02,0,
36,TX0000036,2025-05-23,52,106,2,3,6632.41,49863.62,43231.21,0,
37,TX0000037,2025-06-19,135,106,1,1,13622.41,55821.1,42198.69,0,
38,TX0000038,2025-01-20,70,48,1,3,11653.74,60832.91,49179.17,0,
39,TX0000039,2025-11-07,115,92,3,1,14598.05,30350.55,15752.5,0,
40,TX0000040,2025-01-01,102,51,3,3,5168.98,40637.37,35468.39,0,
41,TX0000041,2025-06-19,53,97,3,2,8682.82,56131.66,47448.84,0,
42,TX0000042,2025-06-17,32,80,2,3,10191.74,43569.7,33377.96,0,
43,TX0000043,2025-07-14,79,147,3,3,2633.03,23713.3,21080.27,0,
44,TX0000044,2025-06-05,47,81,2,1,8180.9,49883.79,41702.89,0,
45,TX0000045,2025-04-20,114,86,3,2,9353.26,31517.03,22163.77,0,
46,TX0000046,2025-11-14,46,22,2,1,5747.35,38973.66,33226.31,0,
47,TX0000047,2025-01-13,63,83,1,1,4570.35,14606.93,10036.58,0,
48,TX0000048,2025-10-22,126,19,1,3,9162.78,53481.01,44318.23,0,
49,TX0000049,2025-12-19,102,131,1,1,8053.09,15516.9,7463.81,0,
50,TX0000050,2025-09-23,112,59,2,1,3600.14,51502.65,47902.51,0,
51,TX0000051,2025-03-10,148,66,2,3,18357.65,24513.44,6155.79,0,
52,TX0000052,2025-08-15,140,149,3,3,11949.5,59456.48,47506.98,0,
53,TX0000053,2025-03-23,134,113,3,2,16628.33,44067.14,27438.81,0,
54,TX0000054,2025-05-22,119,70,3,2,15060.36,57069.52,42009.16,0,
55,TX0000055,2025-05-01,64,74,2,2,8853.46,44559.35,35705.89,0,
56,TX0000056,2025-07-16,85,144,3,1,1703.5,9329.95,7626.45,0,
57,TX0000057,2025-08-27,57,17,2,1,8355.87,24966.85,16610.98,0,
58,TX0000058,2025-12-23,55,111,1,3,7850.59,46363.4,38512.81,0,
59,TX0000059,2025-07-19,101,127,2,3,217.33,17870.09,17652.76,0,
60,TX0000060,2025-09-06,145,59,1,2,9815.77,23535.24,13719.47,0,
61,TX0000061,2025-03-07,90,107,3,3,14511.21,56552.44,42041.23,0,
62,TX0000062,2025-02-12,7,104,3,2,11878.67,45062.36,33183.69,0,
63,TX0000063,2025-06-17,36,123,1,2,3716.41,16798.21,13081.8,0,
64,TX0000064,2025-08-04,87,90,2,1,15248.47,34266.87,19018.4,0,
65,TX0000065,2025-06-29,125,5,1,3,15005.58,17704.65,2699.07,0,
66,TX0000066,2025-04-13,18,11,1,3,15109.24,62594.87,47485.63,0,
67,TX0000067,2025-10-16,41,64,1,2,2611.8,36117.8,33506.0,0,
68,TX0000068,2025-02-28,69,98,1,2,3439.0,33840.65,30401.65,0,
69,TX0000069,2025-07-12,28,7,2,3,18584.85,47417.11,28832.26,0,
70,TX0000070,2025-05-05,53,20,1,3,11882.75,53428.27,41545.52,0,
71,TX0000071,2025-01-22,81,31,2,3,15944.92,44284.95,28340.03,0,
72,TX0000072,2025-01-07,113,98,2,2,1472.24,33884.65,32412.41,0,
73,TX0000073,2025-08-24,28,114,3,1,19219.67,51035.37,31815.7,0,
74,TX0000074,2025-05-19,115,48,3,3,14702.53,62979.67,48277.14,0,
75,TX0000075,2025-05-18,128,124,2,1,8767.93,45346.14,36578.21,0,
76,TX0000076,2025-08-26,23,75,3,3,17644.46,29913.25,12268.79,0,
77,TX0000077,2025-04-04,101,90,2,1,671.13,43233.68,42562.55,0,
78,TX0000078,2025-12-26,94,70,2,3,6872.74,50900.71,44027.97,0,
79,TX0000079,2025-07-28,3,137,2,3,18966.45,23338.54,4372.09,0,
80,TX0000080,2025-01-09,64,126,1,2,12953.47,37545.45,24591.98,0,
81,TX0000081,2025-10-25,59,107,2,2,13866.56,29246.24,15379.68,0,
82,TX0000082,2025-10-09,147,140,2,2,6940.77,56772.68,49831.91,0,
83,TX0000083,2025-04-09,120,73,2,1,6201.8,17805.65,11603.85,0,
84,TX0000084,2025-05-22,143,50,3,3,3911.67,40868.04,36956.37,0,
85,TX0000085,2025-06-01,139,76,1,2,19612.16,61260.32,41648.16,0,
86,TX0000086,2025-05-21,48,81,1,1,381.55,27134.89,26753.34,0,
87,TX0000087,2025-09-09,147,78,1,1,13978.61,20379.96,6401.35,0,
88,TX0000088,2025-01-27,76,125,2,2,9626.41,26727.64,17101.23,0,
89,TX0000089,2025-11-19,30,17,3,1,8074.08,11870.78,3796.7,0,
90,TX0000090,2025-05-08,40,150,1,3,18987.6,23338.13,4350.53,0,
91,TX0000091,2025-08-15,110,60,2,3,15536.3,34617.16,19080.86,0,
92,TX0000092,2025-02-20,113,82,1,3,11415.73,14521.22,3105.49,0,
93,TX0000093,2025-03-30,57,71,3,1,13242.52,21179.67,7937.15,0,
94,TX0000094,2025-08-29,42,1,2,1,8229.5,42729.12,34499.62,0,
95,TX0000095,2025-08-21,62,77,1,3,14168.42,49347.5,35179.08,0,
96,TX0000096,2025-12-05,62,71,1,2,15777.78,47068.17,31290.39,0,
